Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "cascadio.brd" as of: 9/23/19 2:50 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,4.096,1.236,90
C2,Top,4.166,1.237,90
C3,Top,1.630,1.007,270
C4,Top,1.365,1.705,0
C5,Top,1.370,1.285,270
C6,Top,2.020,0.455,0
C7,Top,2.080,0.690,90
C8,Top,1.727,1.000,270
C9,Top,0.710,1.640,90
C10,Top,1.620,1.450,270
C11,Top,1.725,1.460,270
C12,Top,0.335,0.500,180
C13,Top,1.375,1.525,90
G1,Top,3.430,2.073,0
IC1,Top,3.193,1.717,90
IC2,Top,1.210,1.515,180
IC4,Top,1.570,0.490,90
LED1,Top,4.227,0.643,180
LED2,Top,1.643,0.723,270
LED3,Top,1.646,0.780,270
LED4,Top,0.350,0.710,180
LED5,Top,4.035,0.730,180
LED6,Top,3.450,0.730,180
LED7,Top,0.350,1.400,0
R1,Top,2.890,1.730,270
R2,Top,3.830,1.236,270
R3,Top,2.785,1.730,270
R4,Top,3.930,1.236,270
R5,Top,3.730,1.236,270
R6,Top,0.880,0.340,180
R7,Top,3.630,1.236,270
R8,Top,0.800,2.150,0
R9,Top,1.420,0.975,180
R10,Top,2.020,1.695,0
R11,Top,2.020,1.607,180
R12,Top,0.636,0.336,90
R13,Top,0.416,0.335,90
R14,Top,1.655,1.180,0
R15,Top,1.405,1.170,90
R16,Top,1.300,1.285,270
R17,Top,1.366,1.777,0
R18,Top,1.710,0.410,270
R19,Top,0.880,0.540,0
R20,Top,1.030,0.340,180
R21,Top,1.030,0.540,180
R22,Top,0.710,1.500,90
R23,Top,0.335,0.435,0
R24,Top,1.220,1.285,270
R25,Top,1.208,1.790,90
R26,Top,4.227,0.503,270
R27,Top,4.013,1.237,90
R28,Top,3.527,1.236,90
R29,Top,2.023,1.147,0
R30,Top,2.024,1.233,180
R31,Top,1.779,0.726,0
R32,Top,1.779,0.806,0
R33,Top,1.127,1.790,90
R34,Top,1.138,1.284,270
R35,Top,3.530,0.730,270
R36,Top,4.100,0.730,270
R37,Top,0.335,0.570,0
R38,Top,0.350,1.270,270
T3,Top,0.526,0.340,90
T4,Top,1.515,1.180,90
T5,Top,0.880,0.440,180
T6,Top,1.030,0.440,180
U1,Top,3.643,1.350,90
U2,Top,2.020,1.420,270
U3,Top,2.022,0.964,270
Y1,Top,3.503,1.716,270
